;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV2;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV3;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV4;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;intestinalis
ASV5;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV6;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;NA
ASV7;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;intestinalis
ASV8;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV9;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;tayi
ASV10;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV11;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;hathewayi
ASV12;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella;indoligenes
ASV13;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV14;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV15;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV16;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA
ASV17;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV18;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella;NA
ASV19;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV20;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;hathewayi
ASV21;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV22;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis
ASV23;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccalis
ASV24;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;invisus
ASV25;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV26;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV27;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis
ASV28;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;longum
ASV29;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV30;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV31;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV32;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group;NA
ASV33;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;lacrimalis
ASV34;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV35;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV36;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA
ASV37;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;NA
ASV38;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV39;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV40;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;NA
ASV41;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV42;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV43;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV44;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV45;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV46;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;NA
ASV47;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;stomatis
ASV48;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV49;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV50;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis
ASV51;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA
ASV52;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV53;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV54;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;hathewayi
ASV55;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV56;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis
ASV57;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV58;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV59;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV60;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV61;Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;NA
ASV62;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;NA
ASV63;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus
ASV64;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV65;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus
ASV66;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV67;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA
ASV68;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV69;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV70;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;longicatena
ASV71;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;tayi
ASV72;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens
ASV73;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV74;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV75;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum;NA
ASV76;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;NA
ASV77;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;NA
ASV78;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;NA
ASV79;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV80;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV81;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;lacrimalis
ASV82;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV83;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV84;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;tertium
ASV85;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV86;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV87;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV88;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;butyriciproducens
ASV89;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV90;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV91;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV92;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV93;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV94;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;merdae
ASV95;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV96;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
ASV97;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;merdae
ASV98;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus
ASV99;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV100;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;NA
ASV101;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV102;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;comes
ASV103;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;prausnitzii
ASV104;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV105;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;prausnitzii
ASV106;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;NA
ASV107;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella;indoligenes
ASV108;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;invisus
ASV109;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV110;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;comes
ASV111;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV112;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus;NA
ASV113;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;NA
ASV114;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV115;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV116;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV117;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA
ASV118;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV119;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV120;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV121;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV122;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV123;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
ASV124;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;distasonis
ASV125;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV126;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;vulgatus
ASV127;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;wadsworthensis
ASV128;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV129;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV130;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group;NA
ASV131;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA
ASV132;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ASV133;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV134;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;NA
ASV135;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV136;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV137;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;intestinalis
ASV138;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV139;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;formicigenerans
ASV140;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;anaerobius
ASV141;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;NA
ASV142;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;urinimassiliense
ASV143;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV144;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV145;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;sanguinis
ASV146;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV147;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum;NA
ASV148;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;NA
ASV149;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV150;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV151;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV152;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;sanguinis
ASV153;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV154;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV155;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccalis
ASV156;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;longum
ASV157;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV158;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV159;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;NA
ASV160;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;NA
ASV161;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV162;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;NA
ASV163;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA
ASV164;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;NA
ASV165;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group;NA
ASV166;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV167;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV168;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV169;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;putredinis
ASV170;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella;NA
ASV171;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV172;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium;NA
ASV173;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;edouardi
ASV174;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;NA
ASV175;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;NA
ASV176;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV177;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV178;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV179;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;longicatena
ASV180;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;gracilis
ASV181;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group;NA
ASV182;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV183;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;copri
ASV184;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Aquamonas;NA
ASV185;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV186;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;NA
ASV187;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;NA
ASV188;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;thetaiotaomicron
ASV189;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group;NA
ASV190;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV191;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;NA
ASV192;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV193;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;muciniphila
ASV194;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;NA
ASV195;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;NA
ASV196;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group;NA
ASV197;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;prausnitzii
ASV198;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella;NA
ASV199;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV200;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV201;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;prausnitzii
ASV202;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;NA
ASV203;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV204;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV205;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV206;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;hominis
ASV207;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA
ASV208;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV209;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV210;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV211;Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;NA
ASV212;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV213;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA
ASV214;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV215;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV216;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV217;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV218;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV219;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV220;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;massiliensis
ASV221;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;NA
ASV222;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;NA
ASV223;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV224;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV225;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV226;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV227;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;NA
ASV228;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV229;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;lenta
ASV230;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV231;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;catus
ASV232;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospira;NA
ASV233;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV234;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group;NA
ASV235;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV236;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;caccae
ASV237;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;NA
ASV238;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;massiliensis
ASV239;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV240;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group;NA
ASV241;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter;massiliensis
ASV242;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;faecis
ASV243;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;pectinoschiza
ASV244;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV245;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV246;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei
ASV247;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
ASV248;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV249;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV250;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;plautii
ASV251;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group;NA
